Strategy,Parameters,CAGR,Sharpe,Sortino,Calmar,Max_Drawdown,Total_Trades,Win_Rate
Momentum,SMA=20,0.3030006748282035,2.0207972768583993,2.453447002614618,3.074017545347415,-0.09856829714156995,138,0.32608695652173914
Momentum,SMA=50,0.21909835005802547,1.393306922739291,1.7052596324426728,2.503061250238077,-0.08753215688876413,80,0.325
Momentum,SMA=100,0.1796427142129322,1.085017071029327,1.3073729681398185,2.4286547600950423,-0.07396799131956579,52,0.34615384615384615
Momentum,SMA=200,0.14314132023503268,0.7134184136900694,0.8553100869203744,1.2686969515481312,-0.11282546242454831,41,0.3170731707317073
Mean Reversion,"SMA=20, BB=1.5",-0.08142391636831736,-1.202233097382192,-0.8025611120476419,-0.1270904404882863,-0.6406769545804042,65,0.8
Mean Reversion,"SMA=20, BB=2.0",-0.04729687039718666,-1.0081805810686455,-0.5441795716582115,-0.09574445192768587,-0.49399071638019476,42,0.8571428571428571
Mean Reversion,"SMA=20, BB=2.5",-0.02663590338291122,-0.996153767242071,-0.3316305430322372,-0.07448009638821158,-0.357624448336872,16,0.875
RSI,"Period=14, OS=30, OB=70",-0.04057607829207821,-0.9831739981165452,-0.5135140262842868,-0.08688242117421666,-0.4670228769374998,35,0.6857142857142857
RSI,"Period=14, OS=25, OB=75",-0.022677913529751237,-0.8865844570168888,-0.3822939223688207,-0.05866387763906294,-0.3865737220659026,24,0.625
RSI,"Period=21, OS=30, OB=70",-0.02218501737487022,-0.868538841985001,-0.3519209423918162,-0.058791736156187185,-0.37734924711073514,14,0.5714285714285714
